ID,feild_name,source_data_value,target_data_value
00000001,Amount,249,426
00000002,Amount,265,184
00000003,Amount,290,471
00000004,Amount,348,166
00000005,Amount,407,208
00000006,Amount,482,477
00000007,Amount,258,310
00000008,Amount,488,180
00000009,Amount,488,389
00000010,Amount,450,224
00000011,Amount,478,240
00000012,Amount,378,420
00000013,Amount,247,456
00000014,Amount,452,494
00000015,Amount,420,346
00000016,Amount,249,325
00000017,Amount,470,377
00000018,Amount,405,336
00000019,Amount,260,106
00000020,Amount,227,197
00000021,Amount,390,100
00000022,Amount,296,350
00000023,Amount,346,160
00000024,Amount,275,469
00000025,Amount,450,366
00000026,Amount,241,464
00000027,Amount,460,336
00000028,Amount,182,102
00000029,Amount,209,163
00000030,Amount,454,232
00000031,Amount,362,444
00000032,Amount,277,150
00000033,Amount,158,223
00000034,Amount,259,398
00000035,Amount,248,144
00000036,Amount,419,176
00000037,Amount,288,121
00000038,Amount,203,127
00000039,Amount,263,484
00000040,Amount,494,240
00000041,Amount,391,371
00000042,Amount,144,220
00000043,Amount,218,390
00000044,Amount,218,489
00000045,Amount,362,313
00000046,Amount,402,422
00000047,Amount,192,152
00000048,Amount,237,313
00000049,Amount,203,434
00000050,Amount,408,195
00000051,Amount,117,229
00000052,Amount,302,215
00000053,Amount,314,130
00000054,Amount,277,219
00000055,Amount,485,398
00000056,Amount,438,122
00000057,Amount,431,409
00000058,Amount,240,444
00000059,Amount,197,170
00000060,Amount,183,381
00000061,Amount,488,245
00000062,Amount,214,475
00000063,Amount,259,446
00000064,Amount,290,124
00000065,Amount,426,473
00000066,Amount,477,177
00000067,Amount,498,135
00000068,Amount,276,129
00000069,Amount,254,303
00000070,Amount,444,116
00000071,Amount,137,327
00000072,Amount,158,142
00000073,Amount,291,385
00000074,Amount,125,234
00000075,Amount,273,259
00000076,Amount,288,374
00000077,Amount,128,406
00000078,Amount,407,294
00000079,Amount,266,468
00000080,Amount,291,114
00000081,Amount,266,318
00000082,Amount,209,329
00000083,Amount,176,437
00000084,Amount,174,163
00000085,Amount,210,298
00000086,Amount,334,396
00000087,Amount,157,434
00000088,Amount,126,357
00000089,Amount,451,346
00000090,Amount,315,303
00000091,Amount,104,314
00000092,Amount,395,327
00000093,Amount,431,467
00000094,Amount,357,447
00000095,Amount,371,143
00000096,Amount,369,410
00000097,Amount,387,384
00000098,Amount,123,392
00000099,Amount,245,296
00000100,Amount,360,467
00000101,Amount,130,389
00000102,Amount,228,480
00000103,Amount,247,350
00000104,Amount,492,234
00000105,Amount,475,263
00000106,Amount,336,204
00000107,Amount,412,335
00000108,Amount,209,193
00000109,Amount,163,462
00000110,Amount,382,360
00000111,Amount,407,299
00000112,Amount,306,435
00000113,Amount,275,489
00000114,Amount,140,316
00000115,Amount,308,236
00000116,Amount,111,189
00000117,Amount,133,380
00000118,Amount,296,310
00000119,Amount,197,193
00000120,Amount,347,185
00000121,Amount,136,135
00000122,Amount,328,252
00000123,Amount,206,405
00000124,Amount,483,209
00000125,Amount,113,376
00000126,Amount,124,398
00000127,Amount,306,128
00000128,Amount,297,308
00000129,Amount,436,430
00000130,Amount,419,390
00000131,Amount,346,446
00000132,Amount,224,196
00000133,Amount,413,434
00000134,Amount,339,464
00000135,Amount,437,288
00000136,Amount,211,399
00000137,Amount,391,302
00000138,Amount,488,185
00000139,Amount,169,458
00000140,Amount,356,415
00000141,Amount,282,115
00000142,Amount,167,149
00000143,Amount,221,231
00000144,Amount,399,448
00000145,Amount,200,242
00000146,Amount,455,352
00000147,Amount,298,441
00000148,Amount,394,293
00000149,Amount,141,230
00000150,Amount,444,133
00000151,Amount,151,482
00000152,Amount,417,459
00000153,Amount,330,325
00000154,Amount,445,457
00000155,Amount,219,223
00000156,Amount,330,457
00000157,Amount,439,181
00000158,Amount,468,391
00000159,Amount,162,443
00000160,Amount,426,233
00000161,Amount,167,300
00000162,Amount,464,468
00000163,Amount,175,276
00000164,Amount,384,169
00000165,Amount,242,442
00000166,Amount,114,460
00000167,Amount,258,130
00000168,Amount,267,340
00000169,Amount,198,429
00000170,Amount,381,165
00000171,Amount,388,101
00000172,Amount,162,392
00000174,Amount,226,421
00000175,Amount,320,220
00000176,Amount,289,103
00000177,Amount,248,414
00000178,Amount,379,224
00000179,Amount,343,254
00000180,Amount,217,483
00000181,Amount,376,168
00000182,Amount,174,354
00000183,Amount,130,391
00000184,Amount,365,166
00000185,Amount,177,421
00000186,Amount,233,214
00000187,Amount,271,112
00000188,Amount,165,474
00000189,Amount,201,327
00000190,Amount,151,233
00000191,Amount,421,399
00000192,Amount,498,428
00000193,Amount,201,475
00000194,Amount,401,119
00000195,Amount,241,454
00000196,Amount,342,195
00000197,Amount,329,467
00000198,Amount,133,472
00000199,Amount,146,154
00000200,Amount,479,116
00000201,Amount,211,173
00000202,Amount,429,291
00000203,Amount,153,281
00000204,Amount,300,323
00000205,Amount,470,449
00000206,Amount,401,305
00000207,Amount,298,456
00000208,Amount,167,174
00000209,Amount,476,384
00000210,Amount,365,301
00000211,Amount,275,255
00000212,Amount,316,417
00000213,Amount,188,119
00000214,Amount,262,413
00000215,Amount,179,309
00000216,Amount,213,179
00000217,Amount,143,433
00000218,Amount,471,196
00000219,Amount,245,357
00000220,Amount,214,394
00000221,Amount,399,263
00000222,Amount,425,187
00000223,Amount,244,296
00000224,Amount,159,177
00000225,Amount,134,249
00000226,Amount,379,449
00000227,Amount,343,219
00000229,Amount,419,409
00000230,Amount,166,208
00000231,Amount,492,479
00000232,Amount,170,443
00000233,Amount,144,293
00000234,Amount,248,261
00000235,Amount,313,445
00000236,Amount,280,138
00000237,Amount,328,374
00000238,Amount,139,152
00000239,Amount,243,213
00000240,Amount,420,191
00000241,Amount,150,364
00000242,Amount,348,304
00000243,Amount,493,207
00000244,Amount,154,143
00000245,Amount,264,269
00000246,Amount,198,328
00000247,Amount,477,452
00000248,Amount,120,162
00000249,Amount,325,332
00000250,Amount,245,308
00000251,Amount,428,317
00000252,Amount,160,457
00000253,Amount,344,403
00000254,Amount,296,187
00000255,Amount,349,199
00000256,Amount,157,286
00000257,Amount,387,446
00000258,Amount,135,401
00000259,Amount,211,173
00000260,Amount,312,180
00000261,Amount,495,261
00000262,Amount,268,129
00000263,Amount,253,494
00000264,Amount,380,371
00000265,Amount,300,230
00000266,Amount,123,356
00000267,Amount,231,315
00000268,Amount,381,110
00000269,Amount,414,479
00000270,Amount,306,344
00000271,Amount,498,155
00000272,Amount,493,370
00000273,Amount,368,386
00000274,Amount,142,173
00000275,Amount,169,342
00000276,Amount,159,439
00000277,Amount,498,358
00000278,Amount,162,135
00000279,Amount,435,153
00000280,Amount,415,247
00000281,Amount,300,231
00000282,Amount,164,394
00000283,Amount,418,310
00000284,Amount,202,413
00000285,Amount,343,413
00000286,Amount,426,141
00000287,Amount,344,336
00000288,Amount,438,311
00000289,Amount,247,172
00000290,Amount,482,378
00000291,Amount,227,273
00000292,Amount,389,415
00000293,Amount,363,177
00000294,Amount,480,153
00000295,Amount,414,189
00000296,Amount,221,292
00000297,Amount,201,160
00000298,Amount,466,339
00000299,Amount,328,441
00000300,Amount,110,253
00000301,Amount,168,131
00000302,Amount,400,166
00000303,Amount,154,136
00000304,Amount,298,418
00000305,Amount,302,404
00000306,Amount,367,427
00000307,Amount,375,348
00000308,Amount,358,348
00000309,Amount,414,405
00000310,Amount,336,353
00000311,Amount,240,346
00000312,Amount,469,417
00000313,Amount,313,464
00000314,Amount,280,344
00000315,Amount,190,323
00000316,Amount,473,451
00000317,Amount,304,472
00000318,Amount,282,425
00000319,Amount,431,200
00000320,Amount,113,218
00000321,Amount,276,381
00000322,Amount,457,181
00000323,Amount,231,445
00000324,Amount,235,180
00000325,Amount,422,127
00000326,Amount,281,253
00000327,Amount,418,198
00000328,Amount,199,211
00000329,Amount,287,346
00000330,Amount,486,292
00000331,Amount,349,370
00000332,Amount,242,367
00000333,Amount,304,261
00000334,Amount,360,348
00000335,Amount,135,106
00000336,Amount,311,394
00000337,Amount,274,251
00000338,Amount,239,382
00000339,Amount,362,141
00000340,Amount,271,116
00000341,Amount,327,356
00000342,Amount,285,185
00000343,Amount,194,202
00000344,Amount,344,218
00000346,Amount,330,229
00000347,Amount,271,180
00000348,Amount,149,464
00000349,Amount,149,296
00000350,Amount,416,131
00000351,Amount,167,284
00000352,Amount,202,176
00000353,Amount,218,138
00000354,Amount,283,294
00000355,Amount,226,440
00000356,Amount,251,146
00000357,Amount,237,288
00000358,Amount,405,222
00000359,Amount,437,376
00000360,Amount,452,451
00000361,Amount,297,191
00000362,Amount,487,485
00000363,Amount,361,221
00000364,Amount,182,471
00000365,Amount,348,378
00000366,Amount,435,297
00000367,Amount,187,328
00000368,Amount,279,260
00000369,Amount,352,161
00000370,Amount,164,116
00000371,Amount,229,407
00000372,Amount,318,262
00000373,Amount,379,266
00000374,Amount,342,473
00000375,Amount,126,184
00000376,Amount,214,416
00000377,Amount,217,220
00000378,Amount,480,328
00000379,Amount,498,147
00000380,Amount,283,161
00000381,Amount,390,218
00000382,Amount,124,492
00000383,Amount,299,230
00000384,Amount,200,288
00000385,Amount,130,170
00000386,Amount,124,466
00000387,Amount,232,478
00000388,Amount,290,205
00000389,Amount,203,201
00000390,Amount,414,494
00000391,Amount,128,202
00000392,Amount,265,173
00000393,Amount,481,445
00000394,Amount,134,312
00000395,Amount,223,128
00000396,Amount,161,471
00000397,Amount,204,374
00000398,Amount,199,493
00000399,Amount,385,331
00000400,Amount,279,482
00000401,Amount,350,188
00000402,Amount,482,441
00000403,Amount,423,435
00000404,Amount,434,203
00000405,Amount,403,273
00000406,Amount,245,319
00000407,Amount,500,489
00000408,Amount,486,376
00000409,Amount,474,331
00000410,Amount,285,459
00000411,Amount,139,239
00000412,Amount,226,113
00000413,Amount,256,462
00000414,Amount,159,427
00000415,Amount,153,181
00000416,Amount,168,285
00000417,Amount,457,147
00000418,Amount,404,235
00000419,Amount,264,187
00000420,Amount,435,303
00000421,Amount,434,281
00000422,Amount,451,268
00000423,Amount,335,151
00000424,Amount,315,405
00000425,Amount,358,133
00000426,Amount,306,132
00000427,Amount,426,392
00000428,Amount,388,356
00000429,Amount,306,206
00000430,Amount,418,100
00000431,Amount,483,242
00000432,Amount,347,446
00000433,Amount,273,184
00000434,Amount,438,195
00000435,Amount,420,166
00000436,Amount,182,196
00000437,Amount,350,264
00000438,Amount,194,226
00000439,Amount,295,212
00000440,Amount,333,192
00000441,Amount,367,234
00000442,Amount,490,477
00000443,Amount,321,422
00000444,Amount,139,430
00000445,Amount,332,118
00000446,Amount,418,271
00000447,Amount,460,349
00000448,Amount,480,389
00000449,Amount,441,413
00000450,Amount,268,116
00000451,Amount,480,325
00000452,Amount,232,197
00000453,Amount,315,153
00000454,Amount,479,450
00000455,Amount,215,130
00000456,Amount,458,123
00000457,Amount,257,451
00000458,Amount,296,258
00000459,Amount,278,400
00000460,Amount,432,106
00000461,Amount,394,305
00000462,Amount,378,205
00000463,Amount,371,302
00000464,Amount,409,352
00000465,Amount,250,313
00000466,Amount,470,283
00000467,Amount,442,458
00000468,Amount,361,182
00000469,Amount,262,374
00000470,Amount,400,447
00000471,Amount,114,267
00000472,Amount,394,494
00000473,Amount,322,129
00000474,Amount,125,484
00000475,Amount,122,278
00000476,Amount,461,277
00000477,Amount,221,386
00000478,Amount,376,273
00000479,Amount,199,195
00000480,Amount,195,220
00000481,Amount,431,322
00000482,Amount,284,104
00000483,Amount,355,471
00000484,Amount,234,120
00000485,Amount,192,169
00000486,Amount,392,292
00000487,Amount,297,328
00000488,Amount,269,119
00000489,Amount,197,450
00000490,Amount,431,312
00000491,Amount,279,365
00000492,Amount,294,133
00000493,Amount,348,273
00000494,Amount,240,334
00000495,Amount,379,246
00000496,Amount,474,110
00000497,Amount,440,281
00000498,Amount,491,227
00000499,Amount,146,381
00000500,Amount,160,196
00000501,Amount,276,294
00000502,Amount,488,324
00000503,Amount,100,107
00000504,Amount,445,391
00000505,Amount,276,175
00000507,Amount,463,190
00000508,Amount,217,441
00000509,Amount,332,360
00000510,Amount,189,165
00000511,Amount,300,283
00000512,Amount,316,203
00000513,Amount,169,265
00000514,Amount,476,388
00000515,Amount,401,226
00000516,Amount,147,368
00000517,Amount,383,491
00000518,Amount,465,242
00000519,Amount,168,103
00000520,Amount,363,247
00000521,Amount,307,455
00000522,Amount,294,150
00000523,Amount,355,372
00000524,Amount,124,107
00000525,Amount,493,221
00000526,Amount,391,226
00000527,Amount,283,157
00000528,Amount,433,406
00000529,Amount,284,383
00000530,Amount,131,327
00000531,Amount,141,342
00000532,Amount,127,263
00000533,Amount,443,158
00000534,Amount,109,440
00000535,Amount,228,278
00000536,Amount,110,119
00000537,Amount,147,352
00000538,Amount,294,453
00000539,Amount,210,166
00000540,Amount,456,340
00000541,Amount,445,184
00000542,Amount,234,468
00000543,Amount,268,266
00000544,Amount,301,177
00000545,Amount,334,186
00000546,Amount,141,196
00000547,Amount,104,320
00000548,Amount,265,339
00000549,Amount,273,345
00000550,Amount,307,255
00000551,Amount,459,287
00000552,Amount,312,421
00000553,Amount,127,235
00000554,Amount,205,269
00000555,Amount,115,259
00000556,Amount,500,108
00000557,Amount,486,324
00000558,Amount,248,194
00000559,Amount,321,324
00000560,Amount,188,266
00000561,Amount,486,362
00000562,Amount,176,109
00000563,Amount,205,274
00000565,Amount,215,267
00000566,Amount,309,403
00000567,Amount,326,320
00000568,Amount,476,494
00000569,Amount,134,183
00000570,Amount,147,492
00000571,Amount,284,170
00000572,Amount,337,441
00000573,Amount,105,218
00000574,Amount,312,329
00000575,Amount,179,305
00000576,Amount,266,486
00000577,Amount,377,447
00000578,Amount,132,289
00000579,Amount,458,427
00000580,Amount,467,312
00000581,Amount,105,210
00000582,Amount,362,311
00000583,Amount,166,474
00000584,Amount,274,335
00000585,Amount,231,101
00000586,Amount,336,187
00000587,Amount,494,427
00000588,Amount,436,130
00000589,Amount,410,268
00000590,Amount,478,136
00000591,Amount,401,310
00000592,Amount,178,248
00000593,Amount,311,283
00000594,Amount,157,300
00000595,Amount,185,388
00000596,Amount,281,318
00000597,Amount,359,249
00000598,Amount,116,196
00000599,Amount,226,380
00000600,Amount,492,244
00000601,Amount,324,329
00000602,Amount,226,490
00000603,Amount,204,432
00000604,Amount,178,163
00000605,Amount,360,291
00000606,Amount,121,146
00000607,Amount,406,120
00000608,Amount,242,229
00000609,Amount,215,252
00000610,Amount,484,245
00000611,Amount,115,458
00000612,Amount,340,208
00000613,Amount,204,333
00000614,Amount,134,295
00000615,Amount,299,432
00000616,Amount,457,109
00000617,Amount,172,276
00000618,Amount,254,328
00000619,Amount,357,264
00000620,Amount,416,493
00000621,Amount,166,131
00000622,Amount,414,267
00000623,Amount,149,163
00000624,Amount,198,169
00000625,Amount,316,368
00000626,Amount,110,153
00000627,Amount,378,117
00000628,Amount,327,122
00000629,Amount,379,151
00000630,Amount,398,335
00000631,Amount,323,362
00000632,Amount,261,140
00000633,Amount,369,335
00000634,Amount,449,346
00000635,Amount,331,254
00000636,Amount,123,133
00000637,Amount,324,309
00000638,Amount,376,472
00000639,Amount,396,342
00000640,Amount,450,279
00000641,Amount,126,149
00000642,Amount,213,487
00000643,Amount,493,371
00000644,Amount,124,372
00000645,Amount,339,386
00000646,Amount,279,477
00000647,Amount,500,144
00000648,Amount,334,281
00000649,Amount,301,197
00000650,Amount,178,187
00000651,Amount,106,494
00000652,Amount,255,239
00000653,Amount,267,498
00000654,Amount,249,201
00000655,Amount,316,377
00000656,Amount,212,204
00000657,Amount,193,291
00000658,Amount,186,335
00000659,Amount,189,331
00000660,Amount,130,375
00000661,Amount,129,189
00000662,Amount,247,193
00000663,Amount,475,218
00000664,Amount,157,159
00000665,Amount,220,488
00000666,Amount,256,388
00000667,Amount,104,471
00000668,Amount,149,431
00000669,Amount,318,337
00000670,Amount,151,302
00000671,Amount,353,441
00000672,Amount,397,255
00000673,Amount,210,172
00000674,Amount,114,413
00000675,Amount,303,179
00000676,Amount,201,313
00000677,Amount,323,284
00000678,Amount,339,357
00000679,Amount,386,404
00000680,Amount,242,488
00000681,Amount,373,470
00000682,Amount,493,334
00000683,Amount,184,130
00000684,Amount,146,212
00000685,Amount,333,284
00000686,Amount,284,164
00000687,Amount,162,322
00000688,Amount,467,413
00000689,Amount,390,324
00000690,Amount,221,478
00000691,Amount,103,155
00000692,Amount,185,452
00000693,Amount,393,346
00000694,Amount,165,457
00000695,Amount,481,400
00000696,Amount,310,184
00000697,Amount,374,293
00000698,Amount,129,254
00000699,Amount,147,310
00000700,Amount,330,107
00000701,Amount,198,468
00000702,Amount,314,219
00000703,Amount,328,315
00000704,Amount,272,350
00000705,Amount,102,483
00000706,Amount,363,229
00000707,Amount,325,427
00000708,Amount,237,206
00000709,Amount,317,206
00000710,Amount,333,292
00000711,Amount,341,397
00000712,Amount,237,362
00000713,Amount,168,331
00000714,Amount,364,179
00000715,Amount,377,240
00000716,Amount,427,273
00000717,Amount,375,315
00000718,Amount,422,117
00000719,Amount,336,258
00000720,Amount,441,250
00000721,Amount,123,335
00000722,Amount,235,299
00000723,Amount,457,371
00000724,Amount,484,214
00000725,Amount,495,158
00000726,Amount,228,244
00000727,Amount,209,316
00000728,Amount,148,280
00000729,Amount,262,395
00000730,Amount,216,103
00000731,Amount,223,215
00000732,Amount,489,383
00000733,Amount,347,318
00000734,Amount,272,299
00000735,Amount,228,420
00000736,Amount,465,137
00000737,Amount,456,144
00000738,Amount,466,447
00000739,Amount,395,311
00000740,Amount,380,140
00000741,Amount,474,137
00000742,Amount,374,493
00000743,Amount,157,417
00000744,Amount,289,134
00000745,Amount,232,127
00000746,Amount,419,420
00000747,Amount,437,390
00000748,Amount,344,179
00000749,Amount,454,127
00000750,Amount,147,121
00000751,Amount,295,500
00000752,Amount,203,498
00000753,Amount,248,381
00000754,Amount,142,159
00000755,Amount,179,168
00000756,Amount,139,321
00000757,Amount,101,210
00000758,Amount,370,491
00000759,Amount,365,369
00000760,Amount,324,151
00000761,Amount,417,348
00000762,Amount,321,362
00000763,Amount,498,491
00000764,Amount,324,389
00000765,Amount,206,180
00000766,Amount,249,488
00000767,Amount,478,151
00000768,Amount,204,342
00000769,Amount,331,322
00000770,Amount,369,238
00000771,Amount,416,378
00000772,Amount,385,309
00000773,Amount,233,192
00000774,Amount,205,433
00000775,Amount,298,351
00000776,Amount,121,448
00000777,Amount,190,342
00000778,Amount,234,448
00000779,Amount,413,362
00000780,Amount,495,205
00000781,Amount,435,219
00000782,Amount,128,144
00000783,Amount,429,375
00000784,Amount,401,429
00000785,Amount,459,413
00000786,Amount,215,199
00000787,Amount,301,346
00000788,Amount,452,287
00000789,Amount,494,238
00000790,Amount,361,476
00000791,Amount,322,275
00000792,Amount,277,188
00000793,Amount,424,483
00000794,Amount,495,146
00000795,Amount,393,165
00000796,Amount,478,489
00000797,Amount,304,118
00000798,Amount,266,440
00000799,Amount,422,474
00000800,Amount,486,128
00000801,Amount,233,274
00000802,Amount,343,116
00000803,Amount,360,348
00000804,Amount,342,304
00000805,Amount,404,472
00000806,Amount,477,349
00000807,Amount,196,103
00000808,Amount,431,248
00000809,Amount,108,408
00000810,Amount,259,361
00000811,Amount,415,142
00000812,Amount,469,189
00000813,Amount,254,330
00000814,Amount,138,388
00000815,Amount,153,248
00000816,Amount,273,405
00000817,Amount,390,240
00000818,Amount,346,416
00000819,Amount,246,418
